columnCount,stimulusThreshold,numPatterns,time,synPermInactiveDec,dutyCyclePeriod,synPermConnected,synPermActiveInc,potentialPct,result,numActiveColumnsPerInhArea,boostStrength,potentialRadius
1024,2,705,48.646968841552734,0.001,16,0.8,0.01,0.4,27.6,40,0,16
1024,2,1424,56.0454261302948,0.001,16,0.8,0.01,0.4,38.2,60,0,16
1024,2,1015,54.64024591445923,0.001,16,0.8,0.01,0.4,33.6,80,0,16
1024,2,1231,55.56700611114502,0.001,16,0.8,0.01,0.4,33.8,100,0,16
1024,2,1675,59.2497341632843,0.001,16,0.8,0.01,0.4,36.0,120,0,16
2048,2,1136,72.191241979599,0.001,16,0.8,0.01,0.4,28.4,40,0,16
2048,2,1693,76.20782017707825,0.001,16,0.8,0.01,0.4,39.0,60,0,16
2048,2,1645,78.92930293083191,0.001,16,0.8,0.01,0.4,38.8,80,0,16
2048,2,1588,80.73781394958496,0.001,16,0.8,0.01,0.4,36.0,100,0,16
2048,2,1832,86.44240689277649,0.001,16,0.8,0.01,0.4,40.0,120,0,16
4096,2,946,122.85321402549744,0.001,16,0.8,0.01,0.4,30.2,40,0,16
4096,2,1772,126.97204899787903,0.001,16,0.8,0.01,0.4,35.8,60,0,16
4096,2,1747,129.53150081634521,0.001,16,0.8,0.01,0.4,39.6,80,0,16
4096,2,1710,135.6262879371643,0.001,16,0.8,0.01,0.4,38.8,100,0,16
4096,2,1447,137.28388905525208,0.001,16,0.8,0.01,0.4,35.2,120,0,16
