columnCount,activationThreshold,cellsPerColumn,connectedPerm,permanenceInc,minThreshold,permanenceDec,initialPerm,seed,newSynapseCount,predictedSegmentDecrement,time,result
2000,8,2,0.1,0.001,2,0.001,0.1,1960,12,5e-05,373,20.8
2000,8,2,0.1,0.01,2,0.01,0.1,1960,12,0.0005,385,25.2
2000,8,2,0.1,0.1,2,0.1,0.1,1960,12,0.005000000000000001,396,23.7
2000,8,2,0.45,0.001,2,0.001,0.1,1960,12,5e-05,465,24.8
2000,8,2,0.45,0.01,2,0.01,0.1,1960,12,0.0005,397,32.1
2000,8,2,0.45,0.1,2,0.1,0.1,1960,12,0.005000000000000001,392,27.3
2000,8,2,0.8,0.001,2,0.001,0.1,1960,12,5e-05,403,14.7
2000,8,2,0.8,0.01,2,0.01,0.1,1960,12,0.0005,372,27.9
2000,8,2,0.8,0.1,2,0.1,0.1,1960,12,0.005000000000000001,362,27.7
2000,8,2,0.1,0.001,2,0.001,0.45,1960,12,5e-05,467,25.3
2000,8,2,0.1,0.01,2,0.01,0.45,1960,12,0.0005,415,23.7
2000,8,2,0.1,0.1,2,0.1,0.45,1960,12,0.005000000000000001,466,24.4
2000,8,2,0.45,0.001,2,0.001,0.45,1960,12,5e-05,420,27.4
2000,8,2,0.45,0.01,2,0.01,0.45,1960,12,0.0005,370,27.3
2000,8,2,0.45,0.1,2,0.1,0.45,1960,12,0.005000000000000001,348,27.0
2000,8,2,0.8,0.001,2,0.001,0.45,1960,12,5e-05,384,21.5
2000,8,2,0.8,0.01,2,0.01,0.45,1960,12,0.0005,357,27.4
2000,8,2,0.8,0.1,2,0.1,0.45,1960,12,0.005000000000000001,340,26.8
2000,8,2,0.1,0.001,2,0.001,0.8,1960,12,5e-05,438,20.9
2000,8,2,0.1,0.01,2,0.01,0.8,1960,12,0.0005,383,23.0
2000,8,2,0.1,0.1,2,0.1,0.8,1960,12,0.005000000000000001,402,21.0
2000,8,2,0.45,0.001,2,0.001,0.8,1960,12,5e-05,464,32.3
2000,8,2,0.45,0.01,2,0.01,0.8,1960,12,0.0005,442,31.7
2000,8,2,0.45,0.1,2,0.1,0.8,1960,12,0.005000000000000001,433,25.0
2000,8,2,0.8,0.001,2,0.001,0.8,1960,12,5e-05,470,28.8
2000,8,2,0.8,0.01,2,0.01,0.8,1960,12,0.0005,451,26.5
2000,8,2,0.8,0.1,2,0.1,0.8,1960,12,0.005000000000000001,407,27.3
