SP_actCols,SP_size,TM_size,TM_cells,time,result
20,2048,2048,2,356.883812,10.000000
20,2048,2048,4,306.478750,10.000000
20,2048,2048,8,260.076866,10.000000
20,2048,4096,2,379.047745,10.000000
20,2048,4096,4,271.126955,10.000000
20,2048,4096,8,513.693191,10.000000
40,2048,2048,2,392.244022,10.000000
40,2048,2048,4,351.946155,10.000000
40,2048,2048,8,274.508602,10.000000
40,2048,4096,2,416.003260,10.000000
40,2048,4096,4,820.180330,10.000000
40,2048,2048,2,133.889121,10.000000
40,2048,2048,4,118.563967,10.000000
40,2048,4096,2,145.392152,10.000000
40,2048,4096,4,110.541179,49.400000
40,4096,2048,2,138.977132,10.000000
40,4096,2048,4,130.799527,10.000000
40,4096,4096,2,119.616455,10.000000
40,4096,4096,4,96.501747,55.500000
40,5120,2048,2,128.066177,10.000000
40,5120,2048,4,108.119019,10.000000
40,5120,4096,2,113.725810,10.000000
40,5120,4096,4,94.958703,52.600000
80,2048,2048,2,126.515026,10.000000
80,2048,2048,4,121.510611,10.000000
80,2048,4096,2,194.489061,10.000000
80,2048,4096,4,258.712050,54.300000
80,4096,2048,2,130.222418,10.000000
80,4096,2048,4,111.690366,10.000000
80,4096,4096,2,123.228428,10.000000
80,4096,4096,4,103.210426,57.700000
80,5120,2048,2,130.555334,10.000000
80,5120,2048,4,114.214353,10.000000
80,5120,4096,2,122.805798,10.000000
